order_id,return_date,return_reason,refund_amount
ORD000710,2023-04-01,Wrong Item Delivered,75024.5
ORD000716,2023-12-21,Wrong Item Delivered,20145.14
ORD000718,2023-02-26,Product Damaged,21827.5
ORD000720,2025-02-23,Better Price Found Elsewhere,19633.41
ORD000721,2023-12-08,Wrong Item Delivered,121247.7
ORD000723,2025-03-28,Product Damaged,47368.12
ORD000731,2024-09-30,Size Issue,16975.39
ORD000738,2025-08-02,Product Damaged,10219.32
ORD000744,2024-04-14,Product Damaged,23386.73
ORD000747,2023-03-23,Changed Mind,18861.54
ORD000749,2024-02-10,Product Damaged,10784.04
ORD000750,2024-03-16,Wrong Item Delivered,28151.18
ORD000756,2024-06-05,Quality Not as Expected,32873.72
ORD000771,2023-04-18,Quality Not as Expected,22958.02
ORD000773,2024-10-14,Wrong Item Delivered,14892.84
ORD000775,2024-12-01,Quality Not as Expected,13618.92
ORD000778,2025-01-14,Changed Mind,24157.64
ORD000779,2024-03-17,Product Damaged,17902.05
ORD000781,2025-05-01,Product Damaged,9430.77
ORD000783,2024-03-27,Late Delivery,22663.28
ORD000788,2025-01-24,Wrong Item Delivered,9143.6
ORD000797,2024-02-03,Better Price Found Elsewhere,57120.63
ORD000798,2025-06-28,Size Issue,17975.59
ORD000805,2024-06-18,Better Price Found Elsewhere,21565.22
ORD000809,2023-03-04,Quality Not as Expected,16947.04
ORD000818,2023-05-18,Quality Not as Expected,54048.7
ORD000821,2023-01-25,Wrong Item Delivered,10034.43
ORD000824,2024-07-23,Late Delivery,54048.7
ORD000828,2023-09-10,Late Delivery,10661.58
ORD000831,2025-01-27,Changed Mind,11982.27
ORD000834,2023-03-26,Better Price Found Elsewhere,7782.22
ORD000836,2025-06-01,Size Issue,7782.22
ORD000839,2025-08-06,Quality Not as Expected,79487.4
ORD000840,2024-12-28,Product Damaged,40290.27
ORD000841,2023-08-27,Quality Not as Expected,35657.93
ORD000849,2023-04-22,Better Price Found Elsewhere,71727.05
ORD000850,2023-06-13,Better Price Found Elsewhere,24249.54
ORD000856,2024-01-06,Changed Mind,80165.52
ORD000865,2025-07-04,Better Price Found Elsewhere,24249.54
ORD000868,2025-05-24,Size Issue,16734.19
ORD000881,2024-11-27,Better Price Found Elsewhere,20840.14
ORD000883,2023-07-06,Quality Not as Expected,23386.73
ORD000889,2025-03-07,Better Price Found Elsewhere,15060.05
ORD000893,2024-02-27,Changed Mind,19399.63
ORD000900,2024-09-15,Late Delivery,16947.04
ORD000902,2025-06-28,Size Issue,33429.53
ORD000920,2024-02-13,Wrong Item Delivered,8780.13
ORD000921,2025-05-08,Late Delivery,20486.96
ORD000926,2025-01-15,Size Issue,24493.15
ORD000930,2025-06-28,Wrong Item Delivered,16734.19
ORD000945,2023-03-17,Changed Mind,72748.62
ORD000949,2025-04-27,Better Price Found Elsewhere,108097.4
ORD000955,2024-11-01,Changed Mind,44796.16
ORD000958,2024-05-06,Product Damaged,26508.22
ORD000959,2025-06-13,Product Damaged,17136.19
ORD000969,2024-04-04,Late Delivery,17918.46
ORD000971,2025-06-09,Changed Mind,8487.69
ORD000972,2023-12-19,Late Delivery,31204.77
ORD000987,2023-07-10,Size Issue,18934.44
ORD000988,2024-10-18,Wrong Item Delivered,20840.14
ORD000989,2025-05-07,Wrong Item Delivered,15897.48
ORD000994,2024-11-26,Wrong Item Delivered,40082.76
ORD001007,2023-02-10,Changed Mind,35188.98
ORD001008,2023-02-28,Changed Mind,35946.81
ORD001014,2024-03-11,Late Delivery,26315.62
ORD001018,2024-07-05,Changed Mind,20041.38
ORD001021,2023-05-15,Better Price Found Elsewhere,51346.26
ORD001022,2024-09-11,Better Price Found Elsewhere,18756.13
ORD001029,2023-03-01,Better Price Found Elsewhere,6551.02
ORD001039,2023-08-02,Better Price Found Elsewhere,7782.22
ORD001040,2025-01-30,Changed Mind,28401.66
ORD001041,2024-02-15,Product Damaged,27024.35
ORD001045,2023-11-08,Product Damaged,20041.38
ORD001051,2025-01-02,Quality Not as Expected,14786.22
ORD001061,2023-02-14,Product Damaged,9681.46
ORD001073,2024-02-11,Quality Not as Expected,38080.42
ORD001074,2025-02-11,Better Price Found Elsewhere,25875.95
ORD001076,2024-10-23,Product Damaged,25679.41
ORD001077,2023-07-24,Better Price Found Elsewhere,53999.42
ORD001085,2024-04-26,Late Delivery,10757.18
ORD001087,2024-08-21,Late Delivery,6551.02
ORD001091,2023-08-14,Size Issue,69294.39
ORD001103,2025-01-25,Late Delivery,9467.22
ORD001111,2023-10-09,Late Delivery,19697.04
ORD001112,2024-02-19,Wrong Item Delivered,59579.44
ORD001116,2023-02-16,Wrong Item Delivered,43886.45
ORD001121,2024-04-06,Better Price Found Elsewhere,19798.13
ORD001124,2024-11-22,Quality Not as Expected,9430.77
ORD001127,2023-07-15,Quality Not as Expected,71727.05
ORD001129,2023-11-11,Size Issue,19633.41
ORD001130,2025-01-08,Late Delivery,62520.42
ORD001153,2025-03-18,Changed Mind,3275.51
ORD001158,2024-07-29,Size Issue,15089.23
ORD001161,2024-08-12,Changed Mind,14224.06
ORD001162,2023-06-14,Product Damaged,23098.13
ORD001172,2024-11-23,Quality Not as Expected,13157.81
ORD001174,2023-08-26,Late Delivery,18263.18
ORD001193,2024-06-11,Product Damaged,54789.54
ORD001200,2023-04-03,Product Damaged,25673.13
ORD001206,2023-01-30,Changed Mind,16890.6
ORD001213,2024-03-22,Late Delivery,57722.4
ORD001229,2023-03-02,Wrong Item Delivered,102692.53
ORD001233,2023-04-22,Size Issue,25679.41
ORD001234,2023-12-20,Quality Not as Expected,10017.56
ORD001238,2024-06-13,Better Price Found Elsewhere,8993.86
ORD001243,2023-08-24,Quality Not as Expected,8841.35
ORD001252,2023-12-05,Late Delivery,37534.66
ORD001255,2023-09-25,Late Delivery,15897.48
ORD001260,2023-04-30,Quality Not as Expected,13157.81
ORD001262,2024-10-08,Changed Mind,39394.09
ORD001268,2025-02-04,Late Delivery,11785.37
ORD001271,2025-05-04,Changed Mind,25782.26
ORD001272,2024-03-13,Better Price Found Elsewhere,16734.19
ORD001281,2025-04-18,Size Issue,17931.76
ORD001285,2025-07-13,Late Delivery,22217.39
ORD001287,2023-05-12,Product Damaged,17931.76
ORD001297,2024-02-02,Product Damaged,20612.11
ORD001305,2023-10-17,Product Damaged,51346.26
ORD001315,2024-03-06,Late Delivery,23152.16
ORD001323,2024-09-24,Product Damaged,21565.22
ORD001327,2023-11-03,Wrong Item Delivered,21096.19
ORD001329,2023-09-17,Size Issue,7782.22
ORD001330,2023-06-28,Late Delivery,19802.3
ORD001331,2024-06-19,Better Price Found Elsewhere,42192.38
ORD001333,2023-10-30,Changed Mind,25823.18
ORD001334,2023-11-27,Product Damaged,14955.32
ORD001338,2023-10-14,Late Delivery,16890.6
ORD001341,2024-04-22,Product Damaged,69334.41
ORD001346,2024-12-06,Late Delivery,13618.92
ORD001350,2024-04-01,Late Delivery,21096.19
ORD001352,2025-06-22,Wrong Item Delivered,12937.97
ORD001361,2025-04-30,Late Delivery,105199.7
ORD001370,2024-09-07,Better Price Found Elsewhere,51646.36
ORD001374,2023-09-24,Quality Not as Expected,30380.21
ORD001382,2023-10-28,Quality Not as Expected,9183.21
ORD001383,2024-08-02,Wrong Item Delivered,62520.42
ORD001416,2024-01-28,Wrong Item Delivered,51358.82
ORD001431,2024-03-18,Better Price Found Elsewhere,63589.92
ORD001432,2023-02-08,Product Damaged,74837.54
ORD001439,2025-05-02,Quality Not as Expected,24321.92
ORD001443,2023-08-24,Wrong Item Delivered,10905.06
ORD001444,2023-04-25,Better Price Found Elsewhere,17902.05
ORD001448,2024-12-10,Late Delivery,21514.36
ORD001449,2024-07-02,Wrong Item Delivered,41224.22
ORD001457,2024-06-28,Size Issue,7446.42
ORD001463,2023-05-09,Better Price Found Elsewhere,18767.33
ORD001464,2023-06-17,Wrong Item Delivered,20840.14
ORD001473,2025-01-03,Better Price Found Elsewhere,22766.31
ORD001475,2023-04-12,Late Delivery,28420.75
ORD001484,2023-04-11,Size Issue,23098.13
ORD001488,2024-05-07,Better Price Found Elsewhere,17902.05
ORD001492,2025-05-18,Changed Mind,21514.36
ORD001504,2023-04-27,Changed Mind,9428.3
ORD001520,2023-08-03,Size Issue,7782.22
ORD001534,2025-01-20,Quality Not as Expected,42808.41
ORD001540,2024-09-29,Changed Mind,66688.45
ORD001551,2025-06-18,Wrong Item Delivered,14892.84
ORD001553,2023-06-12,Wrong Item Delivered,14008.0
ORD001556,2023-08-23,Product Damaged,21790.22
ORD001566,2025-07-19,Late Delivery,10757.18
ORD001567,2023-04-11,Changed Mind,41680.28
ORD001569,2024-04-24,Changed Mind,23098.13
ORD001572,2024-07-16,Better Price Found Elsewhere,9430.77
ORD001578,2023-07-26,Size Issue,8487.69
ORD001580,2023-04-30,Size Issue,10401.59
ORD001583,2023-04-24,Better Price Found Elsewhere,21048.06
ORD001584,2023-05-21,Size Issue,7544.62
ORD001589,2023-11-18,Changed Mind,20612.11
ORD001596,2024-06-11,Late Delivery,2292.86
ORD001603,2024-10-09,Better Price Found Elsewhere,25782.26
ORD001605,2025-08-07,Product Damaged,41680.28
ORD001608,2024-02-20,Quality Not as Expected,14786.22
ORD001613,2024-07-22,Wrong Item Delivered,8993.86
ORD001615,2025-06-02,Product Damaged,25568.45
ORD001617,2023-03-10,Better Price Found Elsewhere,2784.18
ORD001618,2025-07-21,Size Issue,64695.66
ORD001619,2023-11-26,Better Price Found Elsewhere,21502.53
ORD001625,2023-10-04,Better Price Found Elsewhere,3723.21
ORD001626,2024-11-16,Wrong Item Delivered,107021.03
ORD001631,2024-01-21,Better Price Found Elsewhere,19040.21
ORD001635,2024-04-03,Changed Mind,25673.13
ORD001636,2023-09-24,Wrong Item Delivered,36214.78
ORD001637,2025-01-07,Wrong Item Delivered,24752.87
ORD001638,2023-04-23,Size Issue,73321.75
ORD001653,2023-03-15,Wrong Item Delivered,13618.92
ORD001666,2024-02-14,Changed Mind,43649.17
ORD001667,2025-05-15,Quality Not as Expected,93546.92
ORD001668,2024-01-11,Better Price Found Elsewhere,111086.97
ORD001673,2024-06-11,Quality Not as Expected,33344.22
ORD001675,2023-10-20,Product Damaged,13157.81
ORD001691,2025-07-11,Quality Not as Expected,23098.13
ORD001707,2023-12-11,Size Issue,39596.27
ORD001708,2024-09-26,Product Damaged,12543.04
ORD001713,2023-03-16,Better Price Found Elsewhere,40290.27
ORD001714,2023-10-20,Product Damaged,48315.28
ORD001726,2023-12-27,Better Price Found Elsewhere,14513.61
ORD001735,2023-11-23,Size Issue,17626.99
ORD001737,2023-12-20,Size Issue,7074.1
ORD001743,2024-05-21,Product Damaged,16734.19
ORD001749,2024-12-03,Changed Mind,26656.29
ORD001753,2023-11-21,Wrong Item Delivered,9428.3
ORD001754,2023-03-14,Product Damaged,14271.19
ORD001755,2025-01-26,Product Damaged,34700.04
ORD001756,2024-03-29,Product Damaged,22736.6
ORD001758,2025-01-22,Better Price Found Elsewhere,25782.26
ORD001761,2025-02-10,Late Delivery,21039.94
ORD001763,2024-05-26,Changed Mind,15897.48
ORD001764,2023-07-20,Changed Mind,27024.35
ORD001766,2024-08-14,Product Damaged,16734.19
ORD001770,2023-01-26,Late Delivery,12257.03
ORD001772,2025-04-03,Size Issue,65747.45
ORD001775,2025-07-06,Better Price Found Elsewhere,25181.42
ORD001778,2025-06-07,Changed Mind,34728.25
ORD001787,2023-05-26,Wrong Item Delivered,14271.19
ORD001794,2023-03-15,Changed Mind,33468.38
ORD001804,2023-09-01,Wrong Item Delivered,111086.97
ORD001807,2024-06-19,Late Delivery,51358.82
ORD001812,2023-05-16,Quality Not as Expected,87298.34
ORD001822,2023-03-29,Late Delivery,32271.54
ORD001833,2023-04-21,Wrong Item Delivered,16714.77
ORD001836,2024-05-10,Changed Mind,22217.39
ORD001846,2024-07-08,Size Issue,22179.33
ORD001858,2023-12-31,Size Issue,52050.06
ORD001861,2024-02-08,Late Delivery,73052.72
ORD001862,2024-10-09,Late Delivery,23515.23
ORD001869,2023-01-31,Quality Not as Expected,7281.11
ORD001878,2024-06-08,Better Price Found Elsewhere,37629.12
ORD001887,2025-05-20,Wrong Item Delivered,10526.25
ORD001890,2023-09-10,Quality Not as Expected,63288.57
ORD001891,2023-04-05,Wrong Item Delivered,16672.11
ORD001896,2025-05-22,Quality Not as Expected,10784.04
ORD001898,2025-04-21,Better Price Found Elsewhere,11317.12
ORD001905,2024-03-29,Wrong Item Delivered,10401.59
ORD001907,2025-03-05,Late Delivery,72472.91
ORD001914,2023-12-04,Product Damaged,62520.42
ORD001923,2025-01-16,Product Damaged,19066.49
ORD001924,2023-05-12,Quality Not as Expected,8487.69
ORD001932,2025-02-22,Quality Not as Expected,11785.37
ORD001937,2023-11-05,Late Delivery,25679.41
ORD001943,2025-01-26,Product Damaged,10757.18
ORD001951,2025-06-17,Wrong Item Delivered,15564.44
ORD001955,2025-05-15,Better Price Found Elsewhere,19399.63
ORD001962,2023-09-08,Better Price Found Elsewhere,33173.97
ORD001967,2024-11-16,Quality Not as Expected,11785.37
ORD001971,2024-10-06,Better Price Found Elsewhere,46222.94
ORD001973,2024-11-16,Quality Not as Expected,7782.22
ORD001975,2025-04-04,Late Delivery,10757.18
ORD001976,2025-01-12,Wrong Item Delivered,16436.86
ORD001977,2023-10-13,Quality Not as Expected,7782.22
ORD001990,2024-08-06,Size Issue,28284.89
ORD001992,2023-12-21,Quality Not as Expected,62201.19
ORD001995,2023-01-14,Product Damaged,23204.03
ORD002002,2024-11-25,Size Issue,32685.41
ORD002006,2023-11-13,Product Damaged,30380.21
ORD002010,2025-06-12,Changed Mind,21790.27
ORD002012,2024-07-26,Wrong Item Delivered,37320.71
ORD002013,2024-12-07,Changed Mind,11288.74
ORD002025,2025-06-03,Wrong Item Delivered,31047.41
ORD002026,2025-04-07,Better Price Found Elsewhere,36526.36
ORD002033,2023-05-14,Changed Mind,20733.73
ORD002035,2025-03-03,Product Damaged,25679.41
ORD002040,2024-08-08,Changed Mind,8520.5
ORD002042,2023-09-10,Late Delivery,13137.13
ORD002045,2023-10-29,Quality Not as Expected,26274.26
ORD002048,2023-05-31,Late Delivery,24632.29
ORD002049,2025-03-28,Wrong Item Delivered,43238.96
ORD002054,2023-08-07,Wrong Item Delivered,7530.03
ORD002060,2025-06-02,Quality Not as Expected,22634.24
ORD002066,2025-03-11,Size Issue,13328.15
ORD002077,2024-07-05,Better Price Found Elsewhere,15564.44
ORD002078,2025-07-09,Changed Mind,39394.09
ORD002100,2023-01-12,Product Damaged,20035.13
ORD002105,2024-12-03,Wrong Item Delivered,10606.83
ORD002107,2025-07-01,Better Price Found Elsewhere,63340.16
ORD002120,2025-04-03,Better Price Found Elsewhere,25181.42
ORD002132,2023-10-26,Changed Mind,9881.51
ORD002136,2025-03-05,Late Delivery,19697.04
ORD002141,2024-06-26,Product Damaged,34504.35
ORD002144,2025-02-11,Wrong Item Delivered,56915.78
ORD002148,2023-02-15,Changed Mind,20840.14
ORD002151,2023-08-12,Product Damaged,10526.25
ORD002156,2024-05-10,Changed Mind,24249.54
ORD002158,2024-02-17,Quality Not as Expected,14955.32
ORD002159,2025-05-07,Wrong Item Delivered,20840.14
ORD002167,2023-02-15,Changed Mind,59394.4
ORD002171,2024-02-16,Better Price Found Elsewhere,11383.16
ORD002172,2023-04-08,Product Damaged,23964.54
ORD002178,2024-05-03,Wrong Item Delivered,30380.21
ORD002189,2024-10-06,Product Damaged,19362.92
ORD002199,2023-04-20,Changed Mind,7393.11
ORD002200,2024-06-01,Late Delivery,9881.51
ORD002202,2023-04-25,Size Issue,9494.19
ORD002205,2024-10-16,Wrong Item Delivered,20612.11
ORD002213,2024-10-06,Better Price Found Elsewhere,75024.5
ORD002222,2025-04-01,Size Issue,18767.33
ORD002246,2024-08-26,Quality Not as Expected,23098.13
ORD002270,2025-06-16,Product Damaged,57120.63
ORD002271,2023-11-26,Wrong Item Delivered,19844.66
ORD002289,2024-09-30,Product Damaged,20662.22
ORD002292,2025-02-06,Size Issue,14075.59
ORD002304,2023-10-27,Changed Mind,11317.12
ORD002305,2023-07-30,Changed Mind,10611.15
ORD002309,2023-12-12,Better Price Found Elsewhere,89144.82
ORD002312,2025-04-30,Size Issue,2606.25
ORD002314,2023-03-03,Quality Not as Expected,53706.15
ORD002326,2024-10-18,Quality Not as Expected,15216.74
ORD002328,2024-10-05,Changed Mind,64695.66
ORD002343,2025-04-01,Wrong Item Delivered,3350.89
ORD002350,2023-04-07,Wrong Item Delivered,35804.1
ORD002365,2023-12-07,Late Delivery,25782.26
ORD002369,2024-02-11,Changed Mind,25782.26
ORD002373,2024-01-30,Product Damaged,21824.59
ORD002375,2025-03-26,Quality Not as Expected,18767.33
ORD002380,2023-01-24,Product Damaged,41467.46
ORD002388,2024-12-26,Size Issue,40739.72
ORD002389,2024-09-15,Quality Not as Expected,48643.83
ORD002404,2023-01-14,Product Damaged,23386.73
ORD002408,2024-10-24,Late Delivery,22634.24
ORD002415,2025-04-28,Size Issue,30027.73
ORD002425,2025-07-25,Wrong Item Delivered,22736.6
ORD002431,2023-06-01,Product Damaged,22277.58
ORD002437,2024-11-23,Changed Mind,22277.58
ORD002438,2025-07-29,Changed Mind,17902.05
ORD002441,2023-12-25,Quality Not as Expected,18088.2
ORD002442,2024-08-24,Size Issue,10401.59
ORD002454,2025-05-01,Better Price Found Elsewhere,33173.97
ORD002459,2023-10-09,Quality Not as Expected,30191.31
ORD002463,2024-11-09,Size Issue,19697.04
ORD002466,2023-11-16,Changed Mind,54525.3
ORD002474,2023-03-06,Product Damaged,33468.38
ORD002522,2024-04-15,Size Issue,6551.02
ORD002527,2024-07-03,Late Delivery,30380.21
ORD002528,2024-06-18,Size Issue,7573.78
ORD002530,2025-01-12,Product Damaged,50362.84
ORD002531,2024-03-28,Changed Mind,20840.14
ORD002532,2024-11-23,Quality Not as Expected,99011.48
ORD002540,2023-11-06,Wrong Item Delivered,32337.38
ORD002543,2024-01-28,Quality Not as Expected,54264.6
ORD002547,2025-07-01,Size Issue,37723.08
ORD002563,2024-07-02,Quality Not as Expected,6551.02
ORD002570,2023-01-21,Quality Not as Expected,2784.18
ORD002584,2025-03-23,Changed Mind,42602.49
ORD002594,2024-01-26,Size Issue,26981.58
ORD002597,2023-11-05,Changed Mind,13618.92
ORD002598,2023-01-28,Size Issue,11785.37
ORD002601,2023-11-11,Better Price Found Elsewhere,22277.58
ORD002602,2024-01-27,Product Damaged,20840.14
ORD002610,2024-04-14,Late Delivery,21514.36
ORD002626,2025-01-13,Better Price Found Elsewhere,42192.38
ORD002638,2025-05-17,Size Issue,10526.25
ORD002641,2024-03-26,Better Price Found Elsewhere,85034.74
ORD002649,2025-03-07,Product Damaged,23964.54
ORD002652,2024-08-29,Better Price Found Elsewhere,32873.72
ORD002660,2023-05-01,Quality Not as Expected,14271.19
ORD002678,2023-01-18,Product Damaged,8047.14
ORD002691,2024-09-11,Quality Not as Expected,62715.2
ORD002697,2023-12-04,Better Price Found Elsewhere,60760.42
ORD002704,2023-01-12,Size Issue,32271.54
ORD002709,2023-01-29,Late Delivery,11479.01
ORD002715,2023-10-17,Late Delivery,20486.96
ORD002720,2023-10-02,Size Issue,7782.22
ORD002727,2025-04-01,Quality Not as Expected,11196.1
ORD002733,2024-10-17,Better Price Found Elsewhere,77038.23
ORD002737,2023-03-16,Quality Not as Expected,40973.92
ORD002741,2024-05-15,Size Issue,32715.18
ORD002751,2025-06-03,Quality Not as Expected,116933.65
ORD002762,2024-12-24,Better Price Found Elsewhere,24632.29
ORD002769,2023-07-12,Better Price Found Elsewhere,15216.74
ORD002772,2023-02-05,Quality Not as Expected,32064.62
ORD002777,2023-09-03,Changed Mind,27024.35
ORD002783,2025-02-12,Late Delivery,45718.02
ORD002786,2023-11-25,Better Price Found Elsewhere,20840.14
ORD002790,2023-12-02,Size Issue,6225.78
ORD002791,2023-03-02,Size Issue,22958.02
ORD002795,2025-01-08,Size Issue,35747.66
ORD002810,2024-08-22,Product Damaged,34013.89
ORD002812,2024-10-13,Product Damaged,17838.99
ORD002824,2025-04-09,Quality Not as Expected,37973.14
ORD002825,2024-08-17,Late Delivery,21565.22
ORD002830,2023-11-13,Quality Not as Expected,90946.4
ORD002834,2023-03-16,Wrong Item Delivered,19798.13
ORD002840,2024-02-08,Size Issue,36660.87
ORD002849,2024-12-13,Changed Mind,3275.51
ORD002853,2023-05-27,Changed Mind,31204.77
ORD002856,2023-12-18,Better Price Found Elsewhere,10606.83
ORD002861,2024-05-02,Quality Not as Expected,25782.26
ORD002862,2025-03-06,Changed Mind,23386.73
ORD002875,2024-07-04,Wrong Item Delivered,23204.03
ORD002881,2025-01-21,Quality Not as Expected,10661.58
ORD002904,2023-02-12,Product Damaged,21619.48
ORD002907,2023-06-17,Size Issue,5895.92
ORD002913,2023-01-31,Wrong Item Delivered,64689.87
ORD002915,2025-05-21,Product Damaged,121977.2
ORD002918,2023-12-30,Better Price Found Elsewhere,25578.68
ORD002932,2023-05-22,Size Issue,59636.16
ORD002938,2024-07-29,Better Price Found Elsewhere,51358.82
ORD002943,2023-07-08,Changed Mind,23386.73
ORD002944,2024-05-22,Size Issue,60760.42
ORD002945,2025-01-17,Quality Not as Expected,37534.66
ORD002952,2025-04-23,Product Damaged,2978.57
ORD002956,2024-09-22,Quality Not as Expected,19514.32
ORD002957,2023-03-04,Size Issue,23037.06
